434176,,,5,,,Alive,Good,,shingle oak,,,,,,,,,,,,,,,493 CHESTNUT STREET,11208,,,,Brooklyn,,,,,,,,40.67480819,-73.87327219,,
278754,,,14,,,Alive,Fair,,London planetree,,,,,,,,,,,,,,,766 WEST 181 STREET,10033,,,,Manhattan,,,,,,,,40.85087127,-73.93793839,,
73403,,,8,,,Alive,Fair,,Callery pear,,,,,,,,,,,,,,,48 EAST 11 STREET,10003,,,,Manhattan,,,,,,,,40.73301847,-73.9927957,,
683372,,,29,,,Alive,Good,,pin oak,,,,,,,,,,,,,,,21-029 147 STREET,11357,,,,Queens,,,,,,,,40.77928069,-73.81906177,,
589004,,,15,,,Alive,Good,,silver maple,,,,,,,,,,,,,,,466 WOODROW ROAD,10312,,,,Staten Island,,,,,,,,40.5536498,-74.18462571,,
709326,,,22,,,Alive,Good,,London planetree,,,,,,,,,,,,,,,1907 BAY RIDGE PARKWAY,11204,,,,Brooklyn,,,,,,,,40.61204456,-73.99360789,,
453800,,,4,,,Alive,Good,,cherry,,,,,,,,,,,,,,,615 LINWOOD STREET,11208,,,,Brooklyn,,,,,,,,40.67020476,-73.88159415,,
337562,,,18,,,Alive,Good,,green ash,,,,,,,,,,,,,,,57 COALE AVENUE,10314,,,,Staten Island,,,,,,,,40.61357711,-74.12689465,,
124908,,,11,,,Alive,Good,,silver maple,,,,,,,,,,,,,,,119 MAYBURY AVENUE,10308,,,,Staten Island,,,,,,,,40.55116763,-74.13795879,,
696834,,,0,,,Stump,,,,,,,,,,,,,,,,,,103-012 REMINGTON STREET,11435,,,,Queens,,,,,,,,40.69187507,-73.80939633,,
502276,,,9,,,Alive,Good,,ash,,,,,,,,,,,,,,,242 EAST 58 STREET,10022,,,,Manhattan,,,,,,,,40.76016392,-73.96538005,,
353827,,,8,,,Alive,Fair,,ash,,,,,,,,,,,,,,,2100 BARTOW AVENUE,10475,,,,Bronx,,,,,,,,40.86884329,-73.82327709,,
198873,,,9,,,Alive,Good,,littleleaf linden,,,,,,,,,,,,,,,53-026 METROPOLITAN AVENUE,11385,,,,Queens,,,,,,,,40.71286196,-73.91241533,,
229250,,,6,,,Alive,Poor,,littleleaf linden,,,,,,,,,,,,,,,2058 2 AVENUE,10029,,,,Manhattan,,,,,,,,40.79028197,-73.94254462,,
554167,,,13,,,Alive,Good,,Japanese zelkova,,,,,,,,,,,,,,,1720 CROSBY AVENUE,10461,,,,Bronx,,,,,,,,40.84597357,-73.83146969,,
30809,,,31,,,Alive,Good,,London planetree,,,,,,,,,,,,,,,111-016 66 AVENUE,11375,,,,Queens,,,,,,,,40.73148512,-73.84475202,,
518105,,,19,,,Alive,Good,,London planetree,,,,,,,,,,,,,,,100 CASALS PLACE,10475,,,,Bronx,,,,,,,,40.87905503,-73.82272885,,
332977,,,9,,,Alive,Fair,,cherry,,,,,,,,,,,,,,,95-006 158 AVENUE,11414,,,,Queens,,,,,,,,40.66109185,-73.83817649,,
226968,,,8,,,Alive,Good,,green ash,,,,,,,,,,,,,,,201 CYPRESS AVENUE,11385,,,,Queens,,,,,,,,40.70817737,-73.91972413,,
153948,,,8,,,Alive,Good,,Callery pear,,,,,,,,,,,,,,,154 SOUTH 1 STREET,11211,,,,Brooklyn,,,,,,,,40.71365551,-73.96115005,,
285445,,,3,,,Alive,Good,,Chinese elm,,,,,,,,,,,,,,,25 EAST 31 STREET,11226,,,,Brooklyn,,,,,,,,40.65017648,-73.9484643,,
41787,,,25,,,Alive,Good,,pin oak,,,,,,,,,,,,,,,2880 SEDGWICK AVENUE,10468,,,,Bronx,,,,,,,,40.87430112,-73.90144388,,
696046,,,13,,,Alive,Good,,honeylocust,,,,,,,,,,,,,,,3031 BEDFORD AVENUE,11210,,,,Brooklyn,,,,,,,,40.62844541,-73.9519381,,
383427,,,7,,,Alive,Good,,London planetree,,,,,,,,,,,,,,,1387 BOSTON ROAD,10456,,,,Bronx,,,,,,,,40.83319379,-73.89727373,,
426781,,,18,,,Alive,Good,,honeylocust,,,,,,,,,,,,,,,130 SCHROEDERS AVENUE,11239,,,,Brooklyn,,,,,,,,40.64814711,-73.88034989,,
133704,,,6,,,Alive,Good,,Japanese zelkova,,,,,,,,,,,,,,,98 NORTH 5 STREET,11249,,,,Brooklyn,,,,,,,,40.71769854,-73.96038119,,
92137,,,4,,,Alive,Fair,,bigtooth aspen,,,,,,,,,,,,,,,415 WILSON AVENUE,11221,,,,Brooklyn,,,,,,,,40.69425476,-73.91457109,,
439220,,,5,,,Alive,Good,,cherry,,,,,,,,,,,,,,,35 NUGENT AVENUE,10305,,,,Staten Island,,,,,,,,40.59098911,-74.07855582,,
465000,,,25,,,Alive,Good,,pin oak,,,,,,,,,,,,,,,455 GRANDVIEW AVENUE,10303,,,,Staten Island,,,,,,,,40.62908737,-74.16513465,,
519525,,,3,,,Alive,Good,,swamp white oak,,,,,,,,,,,,,,,278 WOOD AVENUE,10307,,,,Staten Island,,,,,,,,40.51076423,-74.24217616,,
408019,,,30,,,Alive,Good,,London planetree,,,,,,,,,,,,,,,108-013 64 ROAD,11375,,,,Queens,,,,,,,,40.73247707,-73.84873677,,
720184,,,7,,,Alive,Good,,London planetree,,,,,,,,,,,,,,,106 CROSS BAY BOULEVARD,11693,,,,Queens,,,,,,,,40.63082312,-73.82873714,,
654800,,,31,,,Alive,Good,,pin oak,,,,,,,,,,,,,,,87-067 FRANCIS LEWIS BOULEVARD,11423,,,,Queens,,,,,,,,40.72180224,-73.76026086,,
